task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
233	68/bf86a7	39114	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (D0305916_S01_L001)	COMPLETED	0	2025-04-17 17:03:38.911	3.4s	0ms	96.2%	4.2 MB	26.6 MB	49.6 MB	6.8 KB
232	ad/27fa08	39038	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (D0331520_S01_L001)	COMPLETED	0	2025-04-17 17:03:38.465	4.1s	1s	100.5%	6.9 MB	28.1 MB	42.3 MB	143.7 KB
236	ff/9640ba	39315	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (D2306186_S01_L001)	COMPLETED	0	2025-04-17 17:03:42.161	2.5s	0ms	94.1%	2.7 MB	11 MB	63.7 KB	1.1 KB
238	cd/d7fd84	39355	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (D2306186_S01_L001)	COMPLETED	0	2025-04-17 17:03:42.338	3.3s	0ms	39.0%	4.2 MB	26.6 MB	18.8 MB	766 B
237	f7/4115ac	39231	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (D2306186_S01_L001)	COMPLETED	0	2025-04-17 17:03:41.693	4.2s	1s	89.3%	6.7 MB	28.1 MB	18.8 MB	78.6 KB
235	9a/48c096	39150	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (D1251843_S01_L001)	COMPLETED	0	2025-04-17 17:03:40.768	6.1s	3s	98.4%	235.3 MB	954.8 MB	42.4 MB	18.4 MB
241	92/e3b1b1	39506	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (D0305916_S01_L001)	COMPLETED	0	2025-04-17 17:03:45.881	2.6s	0ms	50.8%	2.6 MB	11 MB	63.8 KB	1.2 KB
239	ce/65a08b	39396	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (D1816817_S01_L001)	COMPLETED	0	2025-04-17 17:03:42.571	6.2s	3s	97.4%	238.4 MB	954.8 MB	53.5 MB	35.1 MB
243	3e/752b3e	39469	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (D0305916_S01_L001)	COMPLETED	0	2025-04-17 17:03:45.669	3.3s	1s	41.0%	4.3 MB	26.6 MB	49.6 MB	766 B
127	a1/9c874b	38651	NFCORE_BACTMAP:BACTMAP:BWA_MEM (D0599005_S01_L001)	COMPLETED	0	2025-04-17 17:03:31.450	17.7s	16s	239.6%	202.4 MB	747.2 MB	378.5 MB	388.7 MB
